Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,1220,3,Proposed,1220
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,330,3,Proposed,330
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,850,3,Proposed,850
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1400,3,Proposed,1400
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,700,3,Proposed,700
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,2200,3,Proposed,2200
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,2330,3,Proposed,2330
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55311,Memberships: Employee Association Dues,330,3,Proposed,330
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53214,Leased: Vehicles for City Use,80,3,Proposed,80
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54711,Printing and Duplicating Services,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,850,3,Proposed,850
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",2260,3,Proposed,2260
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,200,3,Proposed,200
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,1090,3,Proposed,1090
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",260,3,Proposed,260
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,350,3,Proposed,350
FY15-16,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,700,3,Proposed,700
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2216,Measure BB - Alameda County Transportation Commission Sales Tax,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",4200,3,Proposed,4200
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,52614,Books,250,3,Proposed,250
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Retirement,51611,Civilian: Retirement Accrual,15969,3,Proposed,15969
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Internal Services & Work Orders,56123,City Accounting Services,2120,3,Proposed,2120
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55211,Periodical Subscriptions,1300,3,Proposed,1300
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Overtime,51212,Civilian: Other Overtime,8960,3,Proposed,8960
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",9000,3,Proposed,9000
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Internal Services & Work Orders,56113,Facilities: General Support,247712,3,Proposed,247712
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,18864,3,Proposed,18864
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,53116,Telephone,22000,3,Proposed,22000
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,488524,3,Proposed,488524
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,52211,Stationery and Office Supplies,8430,3,Proposed,8430
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51511,Civilian: Paid Leave Charge,247300,3,Proposed,247300
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,52911,Bottled Water and Food for Human Consumption,2100,3,Proposed,2100
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,680,3,Proposed,680
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2216,Measure BB - Alameda County Transportation Commission Sales Tax,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51511,Civilian: Paid Leave Charge,27480,3,Proposed,27480
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55311,Memberships: Employee Association Dues,700,3,Proposed,700
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55114,Per Diem and Lodging,17441,3,Proposed,17441
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,53611,Postage and Mailing,3200,3,Proposed,3200
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51111,Civilian: Regular,37378,3,Proposed,37378
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51111,Civilian: Regular,1015998,3,Proposed,1015998
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Retirement,51611,Civilian: Retirement Accrual,416131,3,Proposed,416131
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Internal Services & Work Orders,56111,Special Setups,18627,3,Proposed,18627
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55112,Commercial Transportation,4179,3,Proposed,4179
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,53313,Official Hospitality,1710,3,Proposed,1710
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,53311,City Promotion,570,3,Proposed,570
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,53719,Miscellaneous Services,1400,3,Proposed,1400
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Internal Services & Work Orders,56312,Duplicating,22000,3,Proposed,22000
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55113,Meals,561,3,Proposed,561
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2216,Measure BB - Alameda County Transportation Commission Sales Tax,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,46692,3,Proposed,46692
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51511,Civilian: Paid Leave Charge,11102,3,Proposed,11102
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2216,Measure BB - Alameda County Transportation Commission Sales Tax,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Retirement,51611,Civilian: Retirement Accrual,39528,3,Proposed,39528
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Services & Supplies,52921,Miscellaneous Operating Expenditures,970,3,Proposed,970
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55212,Registration and Tuition,600,3,Proposed,600
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,2216,Measure BB - Alameda County Transportation Commission Sales Tax,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Civilian Salaries,51111,Civilian: Regular,92520,3,Proposed,92520
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",6500,3,Proposed,6500
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1770,Telecommunications Land Use,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Contract Services,54011,Contract Contingencies (Budgetary Only),25000,3,Proposed,25000
FY15-16,Revenue,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Licenses & Permits,42411,Special Permits: Police,144207,3,Proposed,144207
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Travel & Education,55311,Memberships: Employee Association Dues,3150,3,Proposed,3150
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,647436,3,Proposed,647436
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Civilian Salaries,51420,License,3589,3,Proposed,3589
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,2250,Measure N: Fund,P408010,"PARAMEDIC SVCS ACT 1997, (MSR N) ASSMT ENGRG SERVICES",IP59,FINANCIAL MANAGEMENT,Services & Supplies,53719,Miscellaneous Services,5000,3,Proposed,5000
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP03,ADMINISTRATION,Civilian Retirement,51611,Civilian: Retirement Accrual,91470,3,Proposed,91470
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Internal Services & Work Orders,56113,Facilities: General Support,625109,3,Proposed,625109
FY15-16,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP03,ADMINISTRATION,Contract Services,54612,Service Contracts for Machinery and Equipment,850,3,Proposed,850
FY15-16,Revenue,City Administrator,Administration,2111,City Administrator: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP03,ADMINISTRATION,Grants & Subsidies,46612,Successor Redevelopment Agency,1924445,3,Proposed,1924445
